Ciudad 1,Costo ciudad 1,Coordenada X Ciudad 1,Coordenada Y Ciudad 1,Ciudad 2,Costo ciudad 2,Coordenada X Ciudad 2,Coordenada Y Ciudad 2,Costo del enlace
Great Bend,61,3907,2987,Wichita,54,4139,3126,119
Missoula,82,1784,1115,Butte,71,1955,1317,119
St. George,142,1599,3168,Las Vegas,51,1335,3328,119
Wilmington,146,7307,3333,Florence,122,7029,3415,119
Atlacomulco,90,3938,6934,Quer‚taro,64,3868,6765,120
Barstow,79,999,3543,Los Angeles,62,775,3677,120
Chilpancingo,140,1163,1119,Iguala,90,1155,1071,120
Tehuac n,53,4376,7283,C¢rdoba,91,4518,7139,120
Ciudad Altamirano,110,1083,1052,Cuernavaca,100,1170,1026,121
Ciudad Altamirano,110,1083,1052,Toluca,110,1137,993,121
Houlton,70,7994,536,Bangor,123,7967,835,121
Iz£car de Matamoros,117,4257,7299,Cuernavaca,100,4060,7168,121
Oaxaca,100,4483,7539,Iz£car de Matamoros,117,4257,7299,121
Austin,129,4138,4658,V¡ctoria,145,4270,4956,122
Ciudad Altamirano,110,1083,1052,Zihuatanejo,90,1040,1116,122
Nashville,137,5837,3228,Huntsville,84,5889,3551,122
Scranton,79,7272,1810,Harrisburg,101,7159,2083,122
Dodge City,56,3716,3125,Guymon,85,3491,3358,123
Guymon,85,3491,3358,Amarillo,149,3440,3647,123
Helena,149,2037,1196,Livingston,143,2181,1568,124
Los Angeles,62,775,3677,San Diego,98,919,3981,124
Shreveport,109,4778,4127,Alexandria,107,5021,4388,124
Asheville,69,6524,3228,Charlotte,144,6861,3274,125
Ciudad del Carmen,90,1629,997,Villa Hermosa,90,1582,1053,125
Harrisburg,101,7159,2083,Washington,125,7212,2363,125
Houston,131,4549,4737,V¡ctoria,145,4270,4956,125
Little Rock,138,4970,3681,Lake Village,102,5163,3946,125
Baton Rouge,109,5251,4545,Lake Charles,142,4912,4620,126
Corinth,57,5582,3550,Huntsville,84,5889,3551,126
Everett,64,738,656,Wenatchee,62,942,852,126
La Crosse,130,4942,1762,Albert Lea,67,4640,1828,126
Williston,77,3188,954,Minot,86,3501,952,126
Fresno,143,612,3086,San Luis Obispo,66,430,3352,127
La Crosse,130,4942,1762,Dubuque,55,5037,2025,127
Scranton,79,7272,1810,Philadelphia,141,7410,2084,127
Alexandria,107,5021,4388,Baton Rouge,109,5251,4545,128
Atoka,77,4371,3791,Dallas,96,4276,4124,128
Augusta,115,6679,3639,Savannah,78,6885,3887,128
Ciudad Victoria,80,1183,703,Matamoros,80,1233,529,128
Ciudad Victoria,80,1183,703,Soto la Marina,80,1222,702,128
Nashville,137,5837,3228,Chattanoga,107,6109,3410,128
San Luis Potos¡,82,3987,6419,Zacatecas,90,3401,6301,128
Ciudad Victoria,80,1183,703,Tampico,80,1221,784,129
Tampa,126,6823,4768,Ft.Mayers,99,6987,5010,129
Bend,147,659,1526,Burns,56,962,1686,130
Bilings,64,2502,1417,Sheridan,55,2709,1640,130
Boise,66,1377,1740,TwinFalls,73,1600,1998,130
Everett,64,738,656,Ellensburg,117,896,939,130
Gainesville,74,6769,4480,Tampa,126,6823,4768,130
Kearney,101,3633,2510,Lincolin,81,4175,2476,130
Raleigh,69,7126,3047,Wilmington,146,7307,3333,130
Bangor,123,7967,835,Portland,141,7860,1131,132
Ft. Wayne,134,5916,2189,Indianapolis,82,5808,2474,132
Kit Carson,68,3279,2926,Pueblo,114,3006,3017,132
Colima,50,860,1005,Morelia,90,1035,983,133
Mammoth Hot Springs,86,2180,1566,cody,126,2491,1667,133
Meridian,126,5611,4094,Mobile,89,5771,4427,133
M‚xico,132,4057,7037,Puebla,90,4242,7152,133
Portland,141,545,1179,Newport,129,318,1316,133
Reno,138,712,2506,Sacramento,58,425,2653,133
Spanish Fork,98,1931,2643,Green River,91,2214,2845,133
St. Louis,127,5217,2808,Jefferson City,90,4914,2870,133
Vaughn,61,2891,3775,Socorro,100,2609,3873,133
Astoria,106,421,1008,Newport,129,318,1316,134
Dakley,142,3524,2840,Dodge City,56,3716,3125,134
Jefferson City,90,4914,2870,Springfield MO,120,4781,3156,134
Tampa,126,6823,4768,Vero Beach,147,7187,4759,134
